ID,original_ID,tweet,sarcastic,rephrase
11719,train_1849,"I can't tell if my professors keep skipping/delaying Introductions because grad school is so serious and important that you have to immediately dive into material, or if because classes at AU haven't been in-person in two years all the profs are majorly disoriented",0,
2033,sign_7847, working on a task that is difficult to focus on and finish this is it this is what i will do for the rest of my life the end,1, working on a task that is difficult to focus on and finish this is it this is what i will do for the rest of my life the end
7517,sign_2669, on that last one,1, on that last one
9123,sign_11400, it warms my heart the record number of participants in my latest poll thank you all so much,1, no one participated in my latest poll
15363,train_978,Off to london today for the Aurora Programme! See all you girl bosses there! 💁🏽‍♀️💕 #Iamaurora,0,
3844,sign_621, i know it's baffling but no i don't have garage sales and i don't go to garage sales my junk or your junk it's still junk,1, it is not baffling since i don't have garage sales and i don't go to garage sales my junk or your junk it's still junk
3914,sign_9016, that's fucking brilliant,1, that's fucking stupid
11670,sign_4092, it's amazing that mark jackson doesn't have a head coaching job,1, if mark johnson had a head coaching job he would totally be unsuccessful
9628,sign_11945, i swear i just keep making great decision after great decision,1, i keep making terrible decisions
17251,sign_9533, so i put on a baseball game with my favorite baseball player to teach him guess who's the grown up now ?,1, watching sports makes me feel like a kid again
18789,sign_8484, up early yay panic at the disco,1, hate waking up early
19717,sign_14248, at a padres game and i'm trying to explain the fascinating history of cannibalism i learned today to k he's never loved me more,1, someone doesn't appreciate my small talk
950,sign_4175, can't wait for manchester united the biggest club in england have their fa cup bus parade next week fantastic scenes if they do,1, can't wait for manchester united the biggest club in england have their fa cup bus parade next week ugly scenes if they do
4427,sign_7120, yet we're more or less are to our credit putting all that aside,1, yet we're more or less are to our credit putting all that aside
10739,train_348,Keanu reeves is killing his role in ozark season 3,1,The brother in ozark looks just like Keanu reeves!
2314,sign_434, ron kulpa is the picture of professionalism,1, ron kulpa is the opposite of professionalism
14505,sign_5736, it's always fun to wake up at 11 45 pm and then puke,1, it's always fun to wake up at 11 45 pm and then puked
6859,sign_6019, if bells takes a social media break and announces it i wonder which news source will announce the ground breaking news,1, if bells takes a social media break and announces it i wonder which news source will announce the ground breaking news
16540,train_2413,"Go on girl!! @EmmaRaducanu 🇬🇧 🇬🇧 so proud, can’t imagine what you’re feeling, well done x #Raducanu",0,
